permitnumber,address,typeofwork,commercialorresidential,occupancytype,approvedscopeofwork,permitissuedate,lng,lat
979098,1728 FOLSOM ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"FOR NEW CONSTRUCTION OF A FOUR-STORY ATTACHED BUILDING WITH CELLAR, ROOF DECK AND ROOF DECK ACCESS STRUCTURE FOR USE AS A TWO-FAMILY HOUSEHOLD LIVING PER APPROVED PLANS.  BUILDING TO BE FULLY SPRINKLERED WITH NFPA 13R MINIMUM.  SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION.

**AMENDMENT 3/25 TO CHANGE SPECIAL INSPECTOR**

",2020-07-17 04:00:00+00,-75.16610560952255,39.96778863088219
FP-2023-001514,842 CAMERON ST,New Construction,Residential,,"INSTALL NEW FIRE SUPPRESSION SYSTEM COMPLYING WITH NFPA 13R THROUGHOUT AN EXISTING STRUCTURE. INSTALLATION  TO INCLUDE 2"" FIRE SERVICE LINE AND 6."" DC AMES 2000 SS BACKFLOW PREVENTION ASSEMBLY AS PER APPROVED PLANS. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA.
AMEND TO THE FIRE SERVICE MAIN AND INCLUDE NEW INDIVIDUAL BFP DEVICE.",2024-09-30 04:00:00+00,-75.1675650202369,39.96970127112117
FP-2023-000934,204 VINE ST,New Construction,Residential,,"FOR THE INSTALLATION OF A NFPA 13R SYSTEM FOR A SINGLE-FAMILY DWELLING SERVICED BY A TWO (2) INCH FIRE SERVICE LINE WITH A
2-INCH WILKINS 950XLT2BFSS BACKFLOW PREVENTER AND AUTOMATIC FIRE SUPPRESSION SYSTEM. ALL WORK SHALL BE DONE IN ACCORDANCE WITH 
APPROVED PLANS/HYDRAULIC CALCULATIONS.",2023-05-09 04:00:00+00,-75.14286366001755,39.95555490109606
FP-2020-000685,2000 SPRUCE ST,New Construction,Commercial,,"FOR THE INSTALLATION OF TWO (2) INCH FIRE SERVICE LINE WITH TWO (2) INCH BACKFLOW PREVENTER, AUTOMATIC FIRE SUPPRESSION SYSTEM AS PER NFPA 13. ALL WORK SHALL BE DONE IN ACCORDANCE WITH APPROVED PLANS/HYDRAULIC CALCULATIONS. SEPARATE PERMIT REQUIRED FOR ANY OTHER WORK.",2020-09-23 04:00:00+00,-75.174506770068,39.94795498088238
FP-2021-002410,425 GREENWICH ST,New Construction,Residential,,"FOR THE INSTALLATION OF AN AUTOMATIC WET SPRINKLER SYSTEM THROUGHOUT A THREE (3) STORY SINGLE-FAMILY DWELLING TO INCLUDE A NEW ONE (1) INCH COMBINED DOMESTIC & FIRE SERVICE LINE. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH NFPA 13D BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA. IF SITE CONDITIONS VARY, CONTACT THE DESIGN ENGINEER PRIOR TO START OF WORK.",2021-09-02 04:00:00+00,-75.15271854951249,39.92935272104699
FP-2024-000884,4401 SILVERWOOD ST,New Construction,Residential,,"FOR THE INSTALLATION OF A NEW FIRE SUPPRESSION SYSTEM COMPLYING WITH NFPA 13R THROUGHOUT AN EXISTING STRUCTURE. INSTALLATION  TO INCLUDE 2"" FIRE SERVICE LINE AND 2."" DC WILKINS 950 XLT2 BACKFLOW PREVENTION ASSEMBLY AS PER APPROVED PLANS. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA.",2024-05-21 04:00:00+00,-75.22181251021131,40.02741803135915
FP-2024-001089,3962 PENNSGROVE ST,New Construction,Residential,,FOR THE INSTALLATION OF A NEW FIRE SUPPRESSION SYSTEM AND 1” COMBINED SERVICE IN ACCORDANCE WITH NFPA 13D THROUGHOUT THE ENTIRE BUILDING. ALL WORK SHALL COMPLY WITH THE APPROVED PLANS. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA.,2024-07-12 04:00:00+00,-75.2030597095388,39.97166109094429
FP-2025-002463,2323 MUTTER ST,New Construction,Residential,,"THE INSTALLATION OF A ONE (1) INCH COMBINED SERVICE LINE FOR A FIRE & DOMESTIC SUPPLY LINE AND FIRE SERVICE LINE WITH REMOTE TOILET CONNECTION PER PLANS. MULTIPURPOSE RESIDENTIAL FIRE SPRINKLER SYSTEM DESIGNED IN ACCORDANCE WITH NFPA 13D. ALL WORK SHALL BE ACCORDANCE WITH APPROVED PLANS, HYDRAULIC CALCULATIONS, AND APPROVED BUILDING PERMIT. SEPARATE PERMITS REQUIRED FOR ALL PLUMBING WORK.",2026-01-05 05:00:00+00,-75.13443674034227,39.98566901088396
FP-2020-001218,2137 EARP ST,New Construction,Residential,,"FOR THE INSTALLATION OF AN AUTOMATIC SPRINKLER SYSTEM IN ACCORDANCE WITH NFPA 13D THROUGHOUT (L&I CODE BULLETIN NO. 1001-R1) 2-INCH COMBINED LINE (FIRE/DOMESTIC SERVICE LINE) NEW THREE (3) STORY ATTACHED STRUCTURE (W/ROOF DECK AND PILOT HOUSE) TO BE USED AS GROUP R-3 (SFD), AS PER APPROVED PLANS, HYDRAULIC CALCULATIONS AND APPROVED BUILDING PERMITS. ANY DEVIATIONS WILL REQUIRE A SEPARATE PERMIT.",2021-01-20 05:00:00+00,-75.18026997999338,39.93507614118519
FP-2020-000570,2104 N PERCY ST,New Construction,Residential,,"FOR THE INSTALLATION OF A FIRE SUPPRESSION SYSTEM IN ACCORDANCE WITH NFPA 13R, WITH A TWO-INCH FIRE SERVICE LINE; FOR THE INSTALLATION OF A BACKFLOW PREVENTION ASSEMBLY, AS PER APPROVED PLANS.",2020-07-10 04:00:00+00,-75.1486905403012,39.98399502064887
RP-2024-002869,1721 TASKER ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"FOR THE ERECTION OF AN ATTACHED THREE STORY STRUCTURE FOR USE AS A SINGLE FAMILY HOUSEHOLD LIVING. BUILDING TO BE SPRINKLERED IN ACCORDANCE WITH NFPA 13-D. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK.  **A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 9 FEET OF THE BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE 2018 IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMIT  REQUIRED PRIOR TO THE START OF ANY WORK.** BLOWER DOOR TESTING SHALL BE PERFORMED IN ACCORDANCE WITH ASTM E 779 OR ASTM E 1827 BY AN APPROVED THIRD PARTY AGENCY
**NO EXCAVATION WORK GREATER THAN 60"" WITH THIS PERMIT **",2024-09-12 04:00:00+00,-75.17397455011375,39.931362391341594
1028990,8800 BARTRAM AVE,New Construction,Commercial,,HOTEL POOL ROOM REMODELED TO BE CONFERENCE AND WORKOUT ROOM INSTALL WIRING FOR SWITCHES LIGHTS OUTLETS INSTALL WIRING FOR HVAC EQUIPMENT RELOCATE EXISTING SUB PANEL INSTALL CAT6 AND COAX FOR EXERCISE EQUIPMENT **SEPARATE FIRE ALARM PERMIT FOR FIRE ALARM ALTERATIONS REQ'D** ,2020-01-13 16:43:00+00,-75.24764394052505,39.88683285082884
PP-2020-008578,5013 SPRINGFIELD AVE,New Construction or Additions,Commercial,,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",2020-09-29 04:00:00+00,-75.22014028990088,39.94423871125421
PP-2020-005321,2207 N BROAD ST,New Construction or Additions,Commercial,,"2-1"" and one 1- 1 1/2 WDP PPC 2018  (THIS PERMIT DOES NOT INCLUDES CURB TRAP OR FAI OR HOUSE TRAP )",2020-07-31 04:00:00+00,-75.1556899000285,39.98650659135562
MP-2022-004051,705 CRESTVIEW RD,New Construction,Residential,,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards.  Deviations from these standards require submission of construction and site plans. EACH HVAC UNIT TO BE SELF-CONTAINED WITHIN EACH DWELLING UNIT. NO PENETRATIONS OF RATED ASSEMBLIES. (installation of hvac system. 70,000 btu direct vent gas fired warm air furnace. 2.5 ton central a/c unit. complete ductwork system).",2022-08-15 04:00:00+00,-75.23359491955671,40.058481021254565
EP-2023-011367,1535-37 N AMERICAN ST,New Construction,Commercial,,INSTALL A NEW FIRE ALARM SYSTEM. ALL WORK IN ACCORDANCE WITH THE 2017 NEC.,2023-12-19 05:00:00+00,-75.139477029528,39.97471232065376
CP-2024-001408,2443 N 11TH ST,New Construction,Commercial,"A-3 Assembly (Worship, Recreation, Amusement, Other)|B Business (Office)|S-2 Storage (Low Hazard)","NEW CONSTRUCTION OF A ONE (1) STORY SEMI-DETACHED BUILDING FOR USE AS A COMMUNITY CENTER AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED PER NFPA 13. *2018 IBC REVIEW*
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**",2025-05-29 04:00:00+00,-75.14921071962942,39.989700961222375
MP-2020-002317,937 N 29TH ST,New Construction,Commercial,,"For the installation of a new mechanical/HVAC system throughout an existing three (3) story attached structure used as Group R-2, including all associated ductwork, registers, diffusers, roof-top units (as per engineer's sealed letter), and appliances (all ductwork self-contained within each dwelling unit), as per plans; see AP#1005404 for building permit.",2020-08-19 04:00:00+00,-75.18326240022778,39.974171831097934
MP-2020-004183,2844 LIVINGSTON ST,New Construction,Residential,,"Install Two (2)- 90% Eff. 60,000 BTU Gas furnaces Exhausted via direct vent to the exterior (Side) install ductwork, grilles, registers and diffusers, installing Two 2-Ton Coil & Two 2-Ton 13 SEER A/C condenser located on a pad at the rear of the building. (SFD) RP-1057478)-As per EZ HVAC Standard",2020-09-30 04:00:00+00,-75.11225484955776,39.98176409114488
MP-2021-000090,11000 E ROOSEVELT BLVD,New Construction,Commercial,,"Install HVAC System 4 - Rooftop units, prefab roof curb, being installed: 90% EFF 120 BTU Gas furnace exhausted via direct vent to the exterior (back) install ductwork, grilles, (20) registers and diffusers, installing  (4) Four 10-Ton 14.5 SEER A/C condenser located on a roof of building (Com)  Bldg. Permit #CP-2020-003620 ",2021-01-08 05:00:00+00,-75.00957267974997,40.10194148072593
1044887,6118 W OXFORD ST,New Construction,Residential,,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES- For the installation if New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards.  Deviations from these standards require submission of construction and site plans.",2020-01-28 15:39:00+00,-75.24352875051261,39.97975638049743
PP-2022-015072,6210 CLEARVIEW ST,New Construction or Additions,Residential,,Plumbing Permit (Exterior Building Drainage) for combo RP-2022-007668,2022-11-14 05:00:00+00,-75.1716357604249,40.05026707054545
1033771,2213 DREER ST,New Construction,Residential,,"FOR THE INSTALLATION OF AN AUTOMATIC WET SPRINKLER SYSTEM IN ACCORDANCE WITH NFPA 13D AND L&I CODE BULLETIN 1001-R1 (USING 1"" COMBINED FIRE/WATER SERVICE LINE CONNECTED TO PRIVATE 2"" MAIN AS PER PWD UTILITY PLAN DATED 7/18/19) THROUGHOUT A NEW THREE (3) STORY ATTACHED STRUCTURE TO BE USED AS GROUP R-3 (SFD), AS PER PLANS; SEE AP#979738 FOR NEW CONSTRUCTION PERMIT.",2020-02-03 19:58:00+00,-75.12912220976845,39.97866296097303
MP-2024-000792,108 N VAN PELT ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2024-000462,2024-07-22 04:00:00+00,-75.17531555950457,39.95715607132453
EP-2020-006517,1209 N 5TH ST,New Construction,Residential,,new 200 amp service - 125 amp per unit- wire throughout a 2 family dwelling as per NEC 2017,2020-09-03 04:00:00+00,-75.14459680993559,39.97052392087638
1046761,4300 MONUMENT RD,New Construction,Commercial,,"INSTALLATION OF TWO (2) UL LISTED COMMERCIAL KITCHEN EXHAUST HOODS WITH SUPPLY/EXHAUST TIE-IN TO ONE (1) RETURN AIR FAN, ONE (1) EXHAUST FAN & ALL ASSOCIATED RETURN/EXHAUST DUCTWORK.***SEPARATE PERMIT SHALL BE REQUIRED FOR INSTALLATION OF AN APPROVED AUTOMATIC FIRE SUPRESSION SYSTEM***",2020-02-13 14:00:00+00,-75.21489543013703,39.99807384106736
RP-2020-013767,2001 BEACH ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"ERECTION OF AN ATTACHED STRUCTURE FOR USE AS TWO FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING AND SPRINKLER 13R WORK. (NO UNDERPINNING ON THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY. Master approval-RP-2020-003735.ERECTION OF AN ATTACHED STRUCTURE FOR USE AS TWO FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING AND SPRINKLER 13R WORK. (NO UNDERPINNING ON THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY. Master approval-RP-2020-003735.**AMENDED**-, Front door size and swing changes, Windows changed from casements to single hung and Pattern changed slightly.
Coat closets for both units relocated. NO STRUCTURAL CHANGES OR FOOT PRINT CHANGES. MUST MAINTAIN 36"" WIDTH MINIMUM CLEARENCE THROUGHOUT.**AMEND 3/19/24- DPRC-SI- CHANGE***",2020-12-14 05:00:00+00,-75.11693210992816,39.971272101012175
EP-2022-002825,720 S 2ND ST,New Construction,Commercial,,"INSTALL A 400 AMP SERVICE, (7) GANG METER BANK, (7) 125 AMP PANELS & FEEDERS, (1) 200 AMP PANEL & FEEDER. INSTALL WIRING THROUGHOUT THE COMMON AREAS AND SIX DWELLING UNITS. INSTALL LIGHTING NORMAL AND EMERGENCY, SWITCHES, SENSORS AND RECEPTACLES.110V INTERCONNECTED SMOKE ALARMS.PROVIDE POWER FOR THE MECHANICAL AND HVAC EQUIPMENT. INSTALL A NEW FIRE ALARM SYSTEM THROUGHOUT. SUPPLY WIRING FOR ELEVATOR. ALL WORK IS TO BE DONE IN ACCORDANCE W/ APPROVED DRAWINGS-'08 NEC,'13 PHILA FIRE CODE,07 NFPA-72.",2022-08-03 04:00:00+00,-75.146104460358,39.939645610503746
1048513,4114-90 G ST,New Construction,Commercial,,INSTALLATION OF FUEL GAS PIPING TO SERVE APPLIANCES IN A NEW RESTAURANT IN SUITE 3B OF AN EXISTING BUILDING AS PER APPROVED PLANS.,2020-02-14 17:53:00+00,-75.11295217949424,40.011377820599
PP-2022-009377,1237 POINT BREEZE AVE,New Construction or Additions,Commercial,,"REPAIR / REPLACE CT, FAI, 3/4"" WDP

AMEND
Installation of one  2"" water service",2022-06-21 04:00:00+00,-75.17740088997634,39.9364705009822
PP-2024-004412,4050 CONSHOHOCKEN AVE,New Construction or Additions,Residential,,Plumbing Permit (Water Distribution) for combo RP-2024-002831,2025-04-02 04:00:00+00,-75.21287778965673,40.001192930634005
PP-2022-012154,2702 FEDERAL ST,New Construction or Additions,Residential,,"Installation of 1"" water service, 6"" curb trap, house drain, PVC main drain, PVC drain lines, PEX water lines for (4) Full Bathrooms and (2) Water Heaters. 
2 Kitchens, 4 water closets, 4 sinks, 4 tub and showers according to the 2018 PPC.",2022-08-26 04:00:00+00,-75.18866297947666,39.93878162106283
PP-2020-013746,1510-48 N RANDOLPH ST,New Construction or Additions,Residential,,FOR THE ERECTION OF AN ATTACHED STRUCTURE (NTE 38 FT.) WITH ROOF DECK ACCESSED BY A ROOF DECK ACCESS STRUCTURE. SIZE AND LOCATION AS PER PLANS. FOR A SINGLE-FAMILY HOUSEHOLD LIVING. *NO UNDERPINNING ON THIS APPLICATION. ,2021-09-13 04:00:00+00,-75.14514065026701,39.974732670816756
1029752,6202-04 GERMANTOWN AVE,New Construction,Commercial,,INSTALL 800 AMP SERVICE 7 GANG METER BANK INSTALL OUTLETS SWITCHES LIGHTS SMOKES CARBONS AND GFCI'S EACH UNIT 2008 NEC. (NORTH DIST) INSTALL FIRE ALARM SYSTEM PER NFPA 72.(NORTH DIST) ,2020-02-20 15:18:00+00,-75.1802759097513,40.04211613084124
MP-2024-001585,673 N PARK AVE,New Construction,Residential,,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 

Install 92% 60k BTU Furnace, 3 ton AC, ductwork, and 18 diffusers. ",2024-04-04 04:00:00+00,-75.15890064979061,39.96579803091335
1046288,2126 KIMBALL ST,New Construction,Residential,,install (2) gas furnances with ductwork,2020-01-31 20:47:00+00,-75.1791048204387,39.94017000064876
MP-2021-008326,2001 BEACH ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2021-019063,2022-03-24 04:00:00+00,-75.11693210992816,39.971272101012175
MP-2022-004573,2001 RICHMOND ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2022-009017,2023-06-26 04:00:00+00,-75.12027705007287,39.969617450796896
MP-2022-005423,2001 RICHMOND ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2022-009022,2023-06-20 04:00:00+00,-75.12027705007287,39.969617450796896
MP-2020-005735,2001 BEACH ST,New Construction,Residential,,ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR  SPRINKLER ( MINIMUM 13D) WORK. (UNDERPINNNING IS NOT PART OF THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.  'TYPE D' CONFIGURATION BASED ON THE MASTER PERMIT APPROVAL DOCUMENTS.,2021-12-15 05:00:00+00,-75.11693210992816,39.971272101012175
1046319,1741 FONTAIN ST,New Construction,Commercial,R-2 Residential (>2 Dwellings),"FOR THE ERECTION OF AN ATTACHED STRUCTURE OF TYPVE VA CONSTRUCTION WITH A CELLAR AND A ROOF DECK WITH A ROOF ACCESS STRUCTURE. FOR THREE (3) DWELLING UNITS WITH LAYOUT AS PER PLANS--FOUNDATION PREVIOUSLY APPROVED UNDER PERMIT# 1041361. SEPARATE PERMITS REQUIRED FOR ALL MECHANICAL, ELECTRICAL PLUMBING AND FIRE SUPPRESSION WORK.",2020-02-11 18:12:00+00,-75.16267372971518,39.98501920057779
MP-2020-003983,1022 CHRISTIAN ST,New Construction,Residential,,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards.  Deviations from these standards require submission of construction and site plans.",2020-09-21 04:00:00+00,-75.16041811991775,39.93910331078586
MP-2025-001130,4161 WESTMINSTER AVE,New Construction,Commercial,,"FOR THE INSTALLATION OF HVAC APPLIANCES, GRDs, BATHROOM AND CLOTHES DRYER EXHAUSTS, AND ASSOCIATED DUCTWORK THROUGHOUT A THREE-FAMILY DWELLING. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2018 IMC. SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK. SEE CP-2022-005679 FOR ASSOCIATED BUILDING PERMIT.",2025-03-30 04:00:00+00,-75.20786149012766,39.97027004128811
PP-2022-009052,600 MOORE ST,New Construction or Additions,Commercial,,"FOR THE INSTALLATION OF PLUMBING & FIXTURES TO ONE SHELL COMMERCIAL SPACE AND THREE (3) DWELLING UNITS WITHIN A NEW CONSTRUCTION 4 STORY STRUCTURE, AS PER APPROVED PLANS.",2022-07-25 04:00:00+00,-75.15599862972296,39.92618855068976
MP-2022-002944,1718 N BOUVIER ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2022-005089,2022-09-21 04:00:00+00,-75.16351627960705,39.98011441050313
946321,1531 CECIL B MOORE AVE,New Construction,Commercial,A-2 Assembly (Food)|B Business (Office)|S-2 Storage (Low Hazard),"FOR THE ERECTION OF A TWO STORY STRUCTURE FOR USE AS A SIT DOWN RESTAURANT ON THE FIRST FLOOR LEVEL WITH ACCESSORY STORAGE/UTILITIES ON THE BASEMENT LEVEL WITH ACCESSORY BUSINESS USE ON THE SECOND FLOOR LEVEL WITH PARTY WALL BREECHES ON THE FIRST FLOOR LEVEL, SIT-DOWN RESTAURANT SPANS 1527, 1529 AND 1531 CECIL B MOORE AVENE. WORK TO ALSO INCLUDE THE ERECTION OF PARTY WALL BREECHES. BUILDING TO BE SPRINKLERED IN ACCORDANCE WITH NFPA 13. WORK APPROVED PER BBS CASE NO 3744 WITH PROVISOS. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 9 FEET OF THE BUILDING FAÇADE IN ACCORDANCE WITH SECTION 3306 OF THE 2009 IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMIT  REQUIRED PRIOR TO THE START OF ANY WORK.SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK.",2020-01-09 20:03:00+00,-75.1607054898838,39.979269330931054
EP-2021-002762,1716 W OXFORD ST,New Construction,Commercial,,"400 amp service, 4 units rough in and finish, outlets, switches, lights, as per 2017 NEC.   Fire alarm installation as per 2016 NFPA 72.",2021-05-21 04:00:00+00,-75.16366786012856,39.97779149066988
EP-2022-006179,2624 TULIP ST,New Construction,Residential,,"rough in wiring and finish devicing all the outlets, switches and lights. 200 amp service and panel as per 2014 nec",2022-08-24 04:00:00+00,-75.12095148005452,39.982701871171415
1045695,1248 S 23RD ST,New Construction,Residential,,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES- For the installation if New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards.  Deviations from these standards require submission of construction and site plans.
INSTALL A FOUR(4) TON HVAC UNIT (REAR YARD) WITH 80,000BTU, 96%EFF GAS FURNACE, AND DUCTWORK WITH NINE(9) REGISTERS.",2020-01-30 17:10:00+00,-75.18229631957963,39.93692802068286
EP-2024-006506,737 TREE ST,New Construction,Residential,,Electrical Permit for combo RP-2024-005327,2024-08-29 04:00:00+00,-75.15952497043872,39.921461671115935
CP-2020-006067,2108 N MARSHALL ST,New Construction,Commercial,R-2 Residential (>2 Dwellings),"FOR THE ERECTION OF A THREE (3) STORY ATTACHED STRUCTURE WITH A ROOF DECK AND ROOF DECK ACCESS STRUCTURE  TO BE USED AS A MULTI-FAMILY (3 DWELLING UNITS) HOUSEHOLD LIVING, AS PER PLANS;
SEPARATE PERMITS REQUIRED FOR ALL MEP/FSP WORK; BUILDING TO BE FULLY SPRINKLERED AS PER NFPA 13R;
PEDESTRIAN PROTECTION AS PER 2018 IBC CH33 AND L&I CODE BULLETIN B-0503-R2.
",2021-08-08 04:00:00+00,-75.1451350595129,39.983503171280724
PP-2021-018872,514 PARKER AVE,New Construction or Additions,Residential,,Plumbing Permit (Water Distribution) for combo RP-2021-006596,2025-11-03 05:00:00+00,-75.22543380974217,40.042729961026744
PP-2021-013833,3211 MERCER ST,New Construction or Additions,Residential,,Plumbing Permit (Exterior Building Drainage) for combo RP-2020-003845,2023-10-18 04:00:00+00,-75.102845559455,39.985242260535315
EP-2020-001350,1022 CHRISTIAN ST,New Construction,Residential,,200 AMP and new wiring throughout a new single family dwelling per 2017 NEC.,2020-05-11 04:00:00+00,-75.16041811991775,39.93910331078586
EP-2021-003286,1355 S 31ST ST,New Construction,Residential,,"Install 200 AMP incoming service, wiring throughout by 2014 NEC CODE ",2021-04-08 04:00:00+00,-75.19524932977724,39.936535540896756
EP-2020-001662,1301 S CHADWICK ST,New Construction,Residential,,Installation of new wiring throughout a new single family dwelling per 2014 NEC.,2020-05-20 04:00:00+00,-75.17177261006265,39.93442987075555
1043257,3302 RYAN AVE,New Construction,Commercial,,"RACKING AND ELECTRIC INSTALLATION PER SOLAR PV SYSTEM STANDARD AND PER MANUFACTURERS INSTALLATION INSTRUCTIONS. 3.20KW DC SYSTEM CONSISTING OF 10 AXITEC 320W PANELS, 10 SOLAR EDGE P320 OPTIMIZERS, 10 SOLAR EDGE P320 OPTIMIZERS. PER ' 14 NEC.  ",2020-02-27 16:45:00+00,-75.04350379984538,40.04003927084924
EP-2024-000693,1347 N 7TH ST,New Construction,Commercial,,"INSTALL A 400 AMP SERVICE, (5) GANG METER BANK, (1) 200 AMP PANEL & FEEDER, (3) 125 AMP PANELS & FEEDERS, (1) 60 AMP PANEL & FEEDER. INSTALL WIRING THROUGHOUT THE COMMON AREAS, VACANT COMMERCIAL SPACE, & THREE DWELLING UNITS. INSTALL LIGHTS NORMAL & EMERGENCY, SWITCHES, SENSORS, RECEPTACLES, SMOKE, & CARBON MONOXIDE ALARMS. PROVIDE POWER FOR THE MECHANICAL & HVAC EQUIPMENT.
ALL WORK IN ACCORDANCE WITH THE 2017 NEC.",2024-02-08 05:00:00+00,-75.14747731056664,39.97291923089609
RP-2021-019232,2001 BEACH ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"NEW CONSTRUCTION OF FOUR (4) STORY ATTACHED SINGLE FAMILY DWELLING WITH 4TH FLOOR WALKOUT ROOF DECK AND ACCESSORY PARKING GARAGE AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED PER NFPA 13R. *2018 IBC REVIEW* 
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK** 
AMENDMENT: Building 59, Unit 415 will change from a Type B (master permit approval under RP-2021-012926) to a Type C configuration (master permit approval under RP-2021-012927).",2021-12-09 05:00:00+00,-75.11693210992816,39.971272101012175
RP-2020-011296,2001 BEACH ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR  SPRINKLER ( MINIMUM 13D) WORK. (UNDERPINNNING IS NOT PART OF THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.  'TYPE A' CONFIGURATION BASED ON THE MASTER PERMIT APPROVAL DOCUMENTS.,2020-11-19 05:00:00+00,-75.11693210992816,39.971272101012175
